ZIMPERIUM,FALSE,,"$8,000,000","$12,000,000","$25,000,000",San Francisco,Series C,51-200,Mobile Devices;Mobile Security;Mobile Enterprise;Enterprise Security;
Packlink,FALSE,,"$1,500,000","$9,000,000","$12,600,000",Madrid,Series C,51-200,SaaS;Shipping;Logistics;Price Comparison;
Omada Health,FALSE,,,"$23,000,000","$48,000,000",San Francisco,Series C,201-500,Education;Personal Health;Health and Wellness;
Udacity,FALSE,,,,"$35,000,000",Mountain View,No Stage,201-500,Education;
Tout,FALSE,,,,"$26,000,000",San Francisco,Series C,11-50,News;Video;Mobile;Real Time;
Justworks,FALSE,"$1,000,000","$6,000,000","$13,000,000","$33,000,000",New York City,Series C,51-200,SaaS;Payments;Human Resources;Employer Benefits Programs;
Amino,FALSE,,,"$12,400,000","$25,000,000",San Francisco,Series C,11-50,Big Data;Consumer ;Health Care;Health Care Information Technology;
OrderGroove,FALSE,,,,"$20,000,000",New York City,Series C,11-50,B2B;SaaS;E-Commerce;Enterprise Software;
Blend,FALSE,,,,"$40,000,000",San Francisco,Series C,51-200,Banking;Big Data;Consumer Lending;Enterprise Software;
Wayfair,FALSE,,"$165,000,000","$36,000,000","$157,000,000",Boston,Series C,501-1000,E-Commerce;Home Decor;Home & Garden;
Digital Lumens,FALSE,,,,"$23,000,000",Boston,Series C,51-200,Lighting;Energy Efficiency;Industrial Energy Efficiency;
LOYAL3,FALSE,,,,"$18,000,000",San Francisco,Series C,51-200,Finance;Technology;
Meitu,FALSE,,,,"$10,000,000",Palo Alto,Series C,501-1000,Beauty;Photo Editing;Video Streaming;Augmented Reality;
Sonian,FALSE,,"$5,600,000","$9,000,000","$13,600,000",Dedham,Series C,51-200,Email;Search;Archiving;Big Data Analytics;
Kurtosys,FALSE,,,,"$8,000,000",SaaS,Series C,51-200,SaaS;Software;Enterprise Software;Financial Technology;
908 Devices,FALSE,,"$8,100,000",,"$11,600,000",Boston,Series C,,Hardware;Analytics;Chemicals;Homeland Security;
Devialet,FALSE,,,,"$106,000,000",Paris,Series C,51-200,Audio;
chronext.com,FALSE,,,,"$12,300,000",London,Series C,10-1_,Trading;E-Commerce;Curated Web;Financial Services;
Fuller,FALSE,,"$1,200,000","$1,900,000","$4,200,000",Japan,Series C,11-50,Technology;Mobile Games;Big Data Analytics;Mobile Application;
Greenlight Planet,FALSE,,,"$10,000,000","$5,000,000",India,Series C,201-500,Retail;Consumer Goods;Clean Technology;Ventures for Good;
Showpad,FALSE,,,"$8,500,000","$50,000,000",Ghent,Series C,201-500,SaaS;Mobile;Distribution;Enterprise Software;
Rapid Micro Biosystems,FALSE,,"$18,600,000","$36,200,000","$25,000,000",Bedford,Series C,51-200,Testing;Hardware;Biotechnology;Manufacturing;
Snapsheet,FALSE,,,,"$20,000,000",Chicago,Series C,201-500,Insurance;Technology;Automotive;Mobile Application;
Sansan,FALSE,"$500,000","$5,000,000","$14,000,000","$16,900,000",Tokyo,Series C,51-200,B2B;CRM;SaaS;
Webydo,FALSE,,,"$7,000,000","$5,000,000",New York City,Series C,11-50,SaaS;Mobile;E-Commerce;Web Design;
Get-a-Taxi,FALSE,,,,"$12,000,000",Milan,Series C,10-1_,Taxis;
Pacejet Logistics,FALSE,,,,"$4,500,000",Columbus,Series C,11-50,SaaS;Shipping;Enterprise Software;
Resultados Digitais,FALSE,,"$5,000,000","$15,000,000","$19,200,000",Florian?_polis,Series C,201-500,Sales and Marketing;
